id,ten_dia_diem,mo_ta
94,Khu trưng bày tượng sáp Việt," là khu trưng bày tượng sáp Việt đầu tiên tại Việt Nam, do ba nghệ nhân Nguyễn Văn Đông, Thái Ngọc Bình và Nguyễn Thị Diện đưa vào hoạt động vào ngày 11/4/2017, hiện tại đang được trưng bày ở lầu 2 và lầu 4 của Nhà hát Hoà Bình."
95,Hội An Quán,"quán nổi tiếng với các món ăn đậm chất miền Trung, với hương vị ngon miệng và trang trí khá đẹp mắt, quán đã thành công thu hút nhiều thực khách ghé thăm."
96,Bún đậu mắm tôm Tiến Hải:,"đặc trưng của quá với sự kết hợp của bún tươi, đậu phụ tươi, thịt không nhiều mỡ, cốm chiên giòn cùng với nước chấm thơm ngon đặc trưng, thêm chút ớt cay cay tạo nên một món ăn vô cùng quen thuộc mà hấp dẫn."
97,Bánh Canh Cua Gia Truyền,"Nước dùng ngọt thanh thơm lừng, bánh canh dai mềm với nhiều nguyên liệu chế biến được chọn lựa cẩn thận, kỹ càng đã tạo nên món bánh canh cua gia truyền thu hút bao thực khách."
98,Chè Sinh Viên,"menu khá đa dạng, thích hợp vừa ngồi ăn vừa chém gió cùng bạn bè. Chè ở đây giá tuy bình dân nhưng thơm ngon, không quá ngọt như những quán khác."
99,Trái cây tô Bu Bu,"Trái cây tô với nhiều loại quả quen thuộc 4 mùa kết hợp với cơm dừa ăn giòn giòn vô cùng hợp vị, hấp dẫn. Đặc biệt, giá thành ở đây rất bình dân, phù hợp với học sinh, sinh viên. "
100,Công viên Văn hóa Đầm Sen,"Nơi đây như một ốc đảo xanh thu mình giữa thành phố ồn ào, náo nhiệt. Ở đây các bạn có thể thỏa sức khám phá nhiều nơi và những trò chơi vô cùng hấp dẫn."
101,Lotte Mart Quận 11,"Nơi đây có nhiều gian hàng của nhiều thương hiệu từ trong nước và ở thế giới, đến đây các bạn có thể thỏa niềm đam mê mua sắm của mình."
102,Khu vui chơi hướng nghiệp KizworldKhu vui chơi hướng nghiệp Kizworld,Các bé đến đây có thể tham gia nhiều hoạt động về những ngành nghề các bé yêu thích từ đó giúp các bé hiểu được phần nào công việc đó mình sẽ làm gì và khó khăn sẽ ra sao.
103,Nhà thi đấu Phú Thọ,"Nơi đây thường xuyên tổ chức các sự kiện, triển lãm và vào những dịp cuối tuần các bạn có thể cùng người thân và bạn bè đến đây trải nghiệm những môn thể thao mới nhằm nâng cao sức khỏe."
104,Hồ bơi Phú Thọ,"Vào cuối tuần hoặc thời gian rảnh rỗi các bạn có thể đến đây và nếu là tín đồ của môn thể thao bơi lội, "
105,Khu vui chơi trẻ em Seniorkids,"Các phụ huynh có thể dẫn các bé đến đây để trải nghiệm những trò chơi như là nhà banh liên hoàn, hệ thống đường hầm, ống chui, sàn nhun,.... Những trò chơi ở đây vô cùng thú vị và hấp dẫn."
106,The Coffee & Tea Station,"có không gian yên tĩnh, lãng mạn. Nơi đây được trang trí bằng hoa tươi, mỗi ngày sẽ là một loài hoa chủ đạo và chính vì thế, mỗi lần bạn đến"
107,Katinat Saigon Kafe,"bên cạnh không gian đẹp, các bạn còn được thưởng thức nhiều loại đồ uống khác nhau từ trà, cafe, nước ép, sinh tố, các loại bánh ngọt,…"
108,Phở Lâm,"Phở ở đây có giá khoảng hơn 50.000 đồng nhưng đổi lại các bạn sẽ có món phở thơm ngon, không bị bở. nước lèo đậm đà. Cùng với đó, thì tương và bò viên ở đây là chủ quán người Hoa tự làm ăn rất thơm ngon."
109,Cháo sườn Bomni,"Cháo ở đây được đóng gói kỹ càng và có hương vị thơm ngon. Một hộp cháo to ụ nóng hổi với nhiều sụn thịt viên, cá, bò,.... được xe và chế biến kỹ."
110,Bún bò Huế Gia Hội - Lữ Gia,Bún ở đây có hương vị nước dùng đậm đà. Những sợi bún nhỏ với topping đa dạng sẽ khiến bạn say mê từ lần ăn đầu tiên.
111,Sủi cảo Thiên Thiên,Quản sủi cảo nằm trên con đường Hà Tôn Quyền. Sủi cảo ở đây có hương vị thơm ngon đặc trưng của người Hoa.
112,Hủ tiếu Vĩnh Viễn,"là quán hủ tiếu ngon, bổ, rẻ được nhiều người lựa chọn. Đến đây các bạn có thể lựa chọn nhiều món như là hủ tiếu mì thập cẩm, hủ tiếu, hoành thánh, bún gạo,…"
113,Landmark 81,"là toà nhà cao nhất Việt Nam và là khu phức hợp cao cấp được xây dựng bởi tập đoàn Vin Group. Sự hoàn thiện về cơ sở hạ tầng, đa dạng khu vui chơi, ăn uống, mua sắm."
114,Công viên Vinhomes Central Park,"Khu công viên mang nét đẹp hiện đại, không gian rộng thoáng, nhiều góc sống ảo, nhiều cây xanh, có bãi cỏ rộng để vui chơi. Công viên được miễn phí vé vào nên số lượng du khách đến đây tham quan ngày càng tăng cao."
115,Ươm Art Hub,"là một khu phức hợp với nhiều khu vực khác nhau như: Studio De Egg, Tiệm sách The Razcals, Design Anthropology School (DAS), Tiệm xăm Tattoonista, quán F&B. Nơi đây cũng thường xuyên diễn ra các buổi workshop, triển lãm sách,... nên rất thích hợp với các bạn yêu thích sáng tạo, sự mới mẻ."
116,Khu du lịch Văn Thánh,"nằm trong khuôn viên của bán đảo Thanh Đa, là nơi lý tưởng để bạn thư giãn cuối tuần, có đủ hồ bơi, sân tennis, view cafe đẹp tuyệt. Bạn có thể ngồi vừa ngắm sông vừa thưởng thức các món ăn ngon cùng gia đình, bạn bè. Món ăn ngon, nhân viên phục vụ nhiệt tình dễ thương"
117,Khu du lịch Tân Cảng,"có vị trí không xa với trung tâm, dễ tìm, thoáng mát, phù hợp tiệc tùng công ty hoặc gia đình sinh nhật. Quán có view sông thoáng mát, đồ ăn khá ổn, phục vụ nhanh. Vừa ăn vừa có thể ngắm tàu chạy, cảm giác thư giãn thoải mái."
118,Khu du lịch Bình Quới 2,"Không gian thoáng mát, trong lành, có hồ sen thanh bình, phù hợp tụ họp gia đình, bạn bè vào cuối tuần. Đồ ăn không ngon lắm, phục vụ tận tình. Có phòng nghỉ nhưng hơi nhỏ và có muỗi vì sát ao nước."
119,Khu du lịch Bình Quới 1,"có không gian xanh và có những cảnh đẹp để sống ảo. Đội ngũ phục vụ tại khu vực ẩm thực đặt trước đều tận tình và chu đáo. Nhóm bếp phục vụ khá nhanh. Đây là điểm đến thích hợp cho các buổi họp mặt nhóm hoặc họp mặt gia đình, đặc biệt là những ai có các bé nhỏ."
120,Lăng Ông Bà Chiểu,"là lăng thờ Tả Quân Lê Văn Duyệt và thường gọi là Lăng Ông. Nơi đây có những kiến trúc độc đáo và đặc trưng của Việt Nam thời xưa. Đến với Lăng Ông, các bạn sẽ bước vào cổng Tam Quan, đây là lối kiến trúc đặc trưng của những ngôi chùa, đền, thời xưa. Nếu các bạn có chụp hình thì nên chú ý bởi đây là chốn tâm linh."
121,Chợ Bà Chiểu,"nổi tiếng bởi ẩm thực đa dạng, nhiều đồ si, giá cả bình dân và khá gần với trung tâm. Các gian hàng được bố trí sát nhau, khách lui tới tấp nập nên lúc nào cũng náo nhiệt và sầm uất."
122,2PM Coffee,"Quán decor đáng yêu có nhiều góc sống ảo. Tuy nhiên sẽ không ngồi lâu được vì ghế thiết kế nhỏ, chỉ có thể ngồi buôn chuyện chốc lát và sống ảo. Đồ uống thì ổn, giá vừa tầm so với view."
123,Amhaus Home Café," Tông màu chủ đạo của quán là màu trắng xanh cực kỳ bắt mắt. Không gian quán nhẹ nhàng, nhân viên dễ thương. Đặc biệt, quán có sách cho người đi cà phê 1 mình đọc."
124,JeJu Coffee,"nổi bật bởi góc sống ảo ở bên ngoài, style Hàn Quốc nên nhìn xinh lắm, bước vô là nguyên 1 khu vườn đầy cây xanh mát, nhiều góc sống ảo nhìn rất đẹp. Quán là một ngôi nhà nhỏ tông trắng, bên trong được decor cũng rất đẹp với tường kính đón ánh nắng tự nhiên."
125,Nhà hàng Phong Cua 2,"Bạn có thể lựa chọn các loại hải sản sống và nhà hàng sẽ mang đi chế biến. Nhân viên nhiệt tình vui vẻ, menu đa dạng. Nên đặt bàn trước để có view gần bờ sông thoáng mát hơn."
126,Quán Le Steak,"có không gian nhỏ nên các bạn đặt bàn trước để không phải đợi lâu nhé. Chất lượng đồ ăn ổn, giá không quá đắt. Phục vụ đồ ăn khá nhanh. Nếu như nói đồ ăn thì steak ở đây đỉnh của chóp, thịt ăn vừa miệng không dai, mềm, nước sốt rất đậm đà."
