id,ten_dia_diem,mo_ta,loai_dia_diem,khu_vuc,dia_chi,tu_khoa,thoi_gian_hoat_dong,gia_ve,danh_gia,hinh_anh,Latitude,Longitude
85,Vạn Hạnh Mall,"Trung tâm thương mại lớn tại Quận 10 với diện tích hơn 90.000m². Tập trung nhiều thương hiệu lớn, rạp chiếu phim, khu vui chơi, ẩm thực và mua sắm.",Trung tâm thương mại,Quận 10,"11 Sư Vạn Hạnh, Phường 12, Quận 10, TP.HCM","mua sắm, rạp phim, vui chơi, ăn uống, trung tâm thương mại",9:00 - 22:00,Miễn phí (tùy dịch vụ),4.6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d0/96/55/v-n-h-nh-mall.jpg?w=1200&h=1200&s=1,10.7708463,106.6696383
86,Công viên Thỏ Trắng,"Khu vui chơi dành cho thiếu nhi với không gian rộng lớn, nhiều trò chơi, quán cà phê, cửa hàng và khung cảnh sống ảo cho giới trẻ.",Công viên giải trí,Quận 10,"875 Cách Mạng Tháng 8, Phường 15, Quận 10, TP.HCM","khu vui chơi, thiếu nhi, trò chơi, cà phê, sống ảo, công viên",8:00 - 22:00,20.000 - 50.000 VNĐ (tùy trò chơi),4.3,https://sgtourism.vn/wp-content/uploads/2023/05/toan-canh-cong-vien-tho-trang-vung-tau-768x493.jpg,10.7855015,106.666053
87,Chợ Nhật Tảo,"Chợ chuyên bán đồ cũ chất lượng tốt, được chọn lọc kỹ, với nhiều món hàng độc đáo, hiếm có khó tìm.",Chợ - Mua sắm,Quận 10,"Đường Nhật Tảo, Phường 7, Quận 10, TP.HCM","chợ đồ cũ, mua sắm, sưu tầm, hàng điện tử, hiếm, chất lượng",7:00 - 18:00,Miễn phí vào cửa,4.1,https://i.ytimg.com/vi/pJQx_bDgNBk/maxresdefault.jpg,10.7609416,106.6601547
88,Bảo Tàng Y học cổ truyền Việt Nam,"Trưng bày hơn 3.000 hiện vật y học cổ truyền, là nơi lưu giữ tinh hoa y học Việt từ thời đồ đá đến hiện tại.",Bảo tàng,Quận 10,"41 Hoàng Dư Khương, Phường 12, Quận 10, TP.HCM","y học cổ truyền, bảo tàng, văn hóa, lịch sử, hiện vật",8:00 - 17:00 (trừ chủ nhật),"40.000 VNĐ/người lớn, 20.000 VNĐ/trẻ em",4.7,https://nld.mediacdn.vn/291774122806476800/2022/2/24/en9a7673-164568706918515403639.jpg,10.7761884,106.6718953
89,Việt Nam Quốc Tự,"Chốn tâm linh giữa lòng Sài Gòn, mang lại không gian yên tĩnh, thanh thản cho du khách và Phật tử.",Chùa - Tâm linh,Quận 10,"244 Đường 3 Tháng 2, Phường 12, Quận 10, TP.HCM","chùa, thiền, tâm linh, Phật giáo, yên bình, thanh tịnh",6:00 - 20:00,Miễn phí,4.8,https://scr.vn/wp-content/uploads/2020/07/Tam-Cốc-Ninh-Bình-mùa-lúa-chín.jpg,10.7721278,106.6733505
90,Nhà hát Hòa Bình,"Biểu tượng văn hóa và lịch sử sau ngày đất nước thống nhất, chuyên tổ chức các chương trình biểu diễn nghệ thuật và sự kiện lớn.",Nhà hát - Văn hóa,Quận 10,"240 Đường 3 Tháng 2, Phường 12, Quận 10, TP.HCM","nhà hát, biểu diễn, nghệ thuật, sự kiện, lịch sử, văn hóa",Theo sự kiện,Tùy chương trình,4.6,http://ongvove.com/uploads/0000/17/2024/04/04/show-ca-nhac-tai-nha-hat-hoa-binh.jpg,10.7722951,106.6739215
91,Chợ Hồ Thị Kỷ,"Được mệnh danh là 'vũ trụ ăn uống' với vô vàn món ăn vặt hấp dẫn như trà dâu, món Campuchia, xiên que, thịt nướng,…",Chợ ẩm thực,Quận 10,"52 Hồ Thị Kỷ, Phường 1, Quận 10, TP.HCM","ăn uống, ẩm thực",10:00 - 22:00,Miễn phí,4.5,https://cdn.tgdd.vn/Files/2022/12/09/1494649/cho-ho-thi-ky-top-7-quan-an-ngon-o-pho-am-thuc-ho-thi-ky-202212090823071475.jpg,10.7651595,106.6770144
92,Công viên Lê Thị Riêng,"Một trong những công viên lớn ở TP.HCM với không gian xanh mát, nhiều dụng cụ tập thể dục và khu vui chơi cho trẻ em.",Công viên,Quận 10,"875 Cách Mạng Tháng 8, Phường 15, Quận 10, TP.HCM","công viên, tập thể dục, cây xanh, vui chơi, dạo mát",5:00 - 21:00,Miễn phí,4.3,http://cdn-i.vtcnews.vn/files/thy.hue/2017/03/29/img_10961-0007.jpg,10.7851478,106.6647487
93,Vincom Plaza 3/2,"Trung tâm thương mại hiện đại với nhiều thương hiệu lớn như Nike, Adidas,... kèm rạp chiếu phim, phòng tập gym và siêu thị tiện lợi.",Trung tâm thương mại,Quận 10,"3C Đường 3 Tháng 2, Phường 11, Quận 10, TP.HCM","mua sắm, thời trang, rạp phim, siêu thị, gym",9:00 - 22:00,Miễn phí vào cửa,4.4,https://kingofficehcm.com/wp-content/uploads/2022/03/gan-logo-VINCOM-MAXIMARK-Ba-Thang-Hai.jpg,10.776149,106.6806399
94,Khu trưng bày tượng sáp Việt,"Khu tượng sáp đầu tiên tại Việt Nam, trưng bày tượng người nổi tiếng tại Nhà hát Hòa Bình, mang lại trải nghiệm độc đáo cho khách tham quan.",Triển lãm - bảo tàng,Quận 10,"Lầu 2 và lầu 4 Nhà hát Hòa Bình, 240 Đường 3 Tháng 2, Quận 10, TP.HCM","triển lãm, nghệ nhân, bảo tàng",9:00 - 21:00,80.000 - 120.000 VNĐ,4.2,https://admin.luatduonggia.vn/upload/539006/vjk.jpg,10.866119,106.8029346
95,Hội An Quán,"Quán chuyên món ăn miền Trung với hương vị đậm đà và không gian bài trí đẹp mắt, mang hơi thở phố cổ Hội An.",Nhà hàng - quán ăn,Quận 10,"285/94A Cách Mạng Tháng 8, Phường 12, Quận 10, TP.HCM","ẩm thực, ăn uống",10:00 - 22:00,50.000 - 150.000 VNĐ/người,4.6,https://toquoc.mediacdn.vn/280518851207290880/2021/4/27/ngo-ngang-voi-ve-dep-pho-co-hoi-an-nhin-tu-tren-cao-24-16195044602511646130988.jpg,10.8438106,106.7642801
96,Bún đậu mắm tôm Tiến Hải,"Món ăn kết hợp bún tươi, đậu phụ nóng, thịt luộc ít mỡ, chả cốm chiên giòn, ăn kèm mắm tôm đậm vị và ớt cay nồng. Là món ăn quen thuộc nhưng luôn hấp dẫn thực khách.",Quán ăn,Quận 7,"Số 409 Nguyễn Thị Thập, Quận 7, TP.HCM",ẩm thực,10:00 - 21:00,40.000 - 80.000 VNĐ,4.5,https://bundaumamtomtienhai.vn/wp-content/uploads/2022/08/DSC_7568.jpg,10.7636178,106.6678693
97,Bánh Canh Cua Gia Truyền,"Nước dùng ngọt thanh từ xương và cua, bánh canh dai mềm, topping đầy đặn gồm thịt cua, giò, trứng cút,… Tất cả tạo nên món ăn trứ danh hút khách lâu năm.",Quán ăn,Quận 7,"484 Nguyễn Tri Phương, Quận 10, TP.HCM","ẩm thực, ăn uống",7:00 - 21:00,45.000 - 90.000 VNĐ,4.6,"https://img.tripi.vn/cdn-cgi/image/width=700,height=700/https://gcs.tripi.vn/public-tripi/tripi-feed/img/473653snj/banh-canh-cua-gia-truyen-co-dung-879161.jpg",10.7634603,106.6672397
98,Chè Sinh Viên,"Quán chè bình dân có menu phong phú, giá rẻ, phù hợp sinh viên. Không gian thoáng mát, món chè vừa miệng, không quá ngọt, phù hợp tụ tập bạn bè.",Quán chè,Quận 7,"283/24 Phạm Văn Hai, Tân Bình, TP.HCM","ẩm thực, ăn uống",10:00 - 22:00,10.000 - 25.000 VNĐ,4.3,https://inkythuatso.com/uploads/thumbnails/800/2022/08/tranh-phong-canh-da-lat-dep-5-01-11-06-31.jpg,10.762984,106.6739667
99,Trái cây tô Bu Bu,"Món trái cây tổng hợp gồm nhiều loại trái cây bốn mùa, kèm cơm dừa giòn sật và sữa đặc tạo nên món ăn mát lạnh, hợp khẩu vị, đặc biệt được yêu thích bởi học sinh sinh viên.",Quán ăn vặt,Quận 7,"35 Nguyễn Tri Phương, Quận 10, TP.HCM","ẩm thực, sinh viên",9:00 - 22:00,20.000 - 35.000 VNĐ,4.4,https://static.riviu.co/image/2019/11/27/47b042b99e97efd235498428eeec3731_output.jpeg,10.7772336,106.6651292
100,Công viên Văn hóa Đầm Sen,"Công viên giải trí quy mô lớn, như ốc đảo xanh giữa lòng thành phố. Nơi đây có hàng chục trò chơi hiện đại, khu thủy cung, sân khấu nhạc nước, và nhiều điểm check-in hấp dẫn.",Công viên giải trí,Quận 11,"3 Hòa Bình, Phường 3, Quận 11, TP.HCM","công viên, trò chơi, vui chơi",8:00 - 17:00,80.000 - 160.000 VNĐ,4.2,https://statics.vinpearl.com/cong-vien-van-hoa-dam-sen-1_1630425408.jpg,10.766098,106.6418936
101,Lotte Mart Quận 11,"Trung tâm thương mại với nhiều gian hàng từ thương hiệu trong nước và quốc tế, cung cấp đa dạng sản phẩm từ thời trang, gia dụng đến ẩm thực.",Trung tâm thương mại,Quận 11,"968 Ba Tháng Hai, Phường 15, Quận 11, TP.HCM","trung tâm mua sắm, thời trang, siêu thị",8:00 - 22:00,Miễn phí vào cổng,4.3,https://www.galaxyoffice.vn/wp-content/uploads/2024/09/toa-nha-lotte-mart-quan-11.jpg,10.7631186,106.6567147
102,Khu vui chơi hướng nghiệp Kizworld,"Kizworld là khu vui chơi hướng nghiệp hiện đại dành cho trẻ em, nơi các bé có thể hóa thân thành bác sĩ, đầu bếp, lính cứu hỏa... giúp trẻ phát triển kỹ năng và hiểu rõ công việc thực tế.",Khu vui chơi trẻ em,Quận 11,"Số 62, đường Đặng Minh Trứ, Phường 10, Quận 11, TP.HCM","trẻ em, vui chơi, kỹ năng sống",9:00 - 21:00,80.000 - 150.000 VNĐ,4.5,https://khuvuichoigiaitri.com/wp-content/uploads/2017/11/kizworld.jpg,10.7645295,106.6557487
103,Nhà thi đấu Phú Thọ,"Địa điểm tổ chức các sự kiện thể thao, triển lãm, hội chợ lớn của TP.HCM. Cuối tuần thường có hoạt động cộng đồng và sự kiện thể thao mở rộng.",Nhà thi đấu,Quận 11,"01 Lữ Gia, Phường 15, Quận 11, TP.HCM","nhà thi đấu, sự kiện, thể thao",7:00 - 21:00,Theo từng sự kiện,4.2,https://media-cdn-v2.laodong.vn/Storage/NewsPortal/2023/1/10/1136703/344E3534-2D35-49E6-B.jpeg,10.7690285,106.6577739
104,Hồ bơi Phú Thọ,"Hồ bơi hiện đại và sạch sẽ, là nơi lý tưởng để tập luyện bơi lội hoặc thư giãn vào cuối tuần. Phù hợp cho mọi lứa tuổi với hồ sâu và hồ dành cho trẻ em.",Hồ bơi công cộng,Quận 11,"Số 215A Lý Thường Kiệt, Phường 15, Quận 11, TP.HCM","bơi lội, hồ bơi, thể thao, giải trí",5:30 - 19:00,20.000 - 50.000 VNĐ,4.4,http://toancaupool.com/wp-content/uploads/2023/01/ho-boi-phu-tho-1.jpg,10.7646121,106.6587593
105,Khu vui chơi trẻ em Seniorkids,"Khu vui chơi hiện đại với hệ thống nhà banh, đường hầm, ống chui, sàn nhún… phù hợp cho trẻ từ 2–12 tuổi, đảm bảo an toàn và hấp dẫn.",Khu vui chơi trẻ em,Quận 11,"Tầng 3, TTTM Lotte Mart Quận 11, TP.HCM","vui chơi, trẻ em",9:00 - 21:00,50.000 - 120.000 VNĐ,4.3,https://playviet.vn/wp-content/uploads/2021/05/thiet-ke-khu-vui-choi-tre-em-trong-nha-475m2-SaiGon-Center-Binh-Duong.jpg,10.8272942,106.7695194
106,The Coffee & Tea Station,"Quán cà phê với không gian yên tĩnh, lãng mạn, được trang trí bằng hoa tươi mỗi ngày. Mỗi ngày sẽ có một loài hoa chủ đạo tạo cảm giác mới mẻ.",Quán cà phê,Quận 3,"45B Hồ Xuân Hương, Phường 6, Quận 3, TP.HCM","cafe, thư giãn, sống ảo",7:00 - 22:00,Khoảng 35.000 - 60.000 VNĐ,4.4,https://khongsolac.com/wp-content/uploads/2019/03/the-coffee-tea-station-quan-11.jpg,10.8505533,106.7670391
107,Katinat Saigon Kafe,"Quán nổi tiếng với không gian đẹp, hiện đại, menu đa dạng từ trà, cafe, nước ép, sinh tố đến các loại bánh ngọt, phù hợp cho học tập, làm việc và gặp gỡ bạn bè.",Quán cà phê,Nhiều chi nhánh - TP.HCM,"91 Đồng Khởi, Quận 1, TP.HCM (chi nhánh tiêu biểu)","café, đồ uống",7:00 - 22:30,40.000 - 70.000 VNĐ,4.5,https://noithatcaphe.vn/images/2023/06/18/thiet-ke-katinat-saigon-1.jpg,10.8561482,106.7664785
108,Phở Lâm,"Quán phở nổi tiếng với nước lèo đậm đà, thơm ngon. Tương và bò viên do chính chủ người Hoa làm. Món ăn được đánh giá cao bởi hương vị đặc trưng.",Quán ăn sáng,Quận 5,"303 Trần Phú, Phường 8, Quận 5, TP.HCM","ẩm thực, người Hoa",6:00 - 11:00,50.000 - 60.000 VNĐ,4.3,https://fastly.4sqi.net/img/general/600x600/10819764_l5nyX5M7kq5X34Nei1f7F_g_vWM2sKbGYZFahZGL3HU.jpg,10.8797365,106.8112662
109,Cháo sườn Bomni,"Quán cháo đóng gói kỹ lưỡng, giữ nóng lâu và đậm đà hương vị. Mỗi phần cháo đầy ụ với nhiều lựa chọn topping như sụn, cá, thịt bò, thịt viên.",Quán cháo,Quận 10,"104 Hồ Bá Kiện, Phường 15, Quận 10, TP.HCM",ẩm thực,7:00 - 22:00,30.000 - 50.000 VNĐ,4.2,https://static.riviu.co/image/2020/02/24/3189e645c64631ab37068c703203dbff_output.jpeg,10.7635912,106.6544383
110,Bún bò Huế Gia Hội - Lữ Gia,"Quán bún bò Huế chuẩn vị miền Trung, nước dùng đậm đà, bún nhỏ dai, topping đa dạng. Là địa điểm quen thuộc của nhiều tín đồ ẩm thực Huế.",Quán ăn,Quận 11,"Số 2 Lữ Gia, Phường 15, Quận 11, TP.HCM",ẩm thực,6:00 - 21:00,40.000 - 60.000 VNĐ,4.4,https://www.hungryhuy.com/wp-content/uploads/bun-bo-hue-bowl.jpg,10.772164,106.6563618
111,Sủi cảo Thiên Thiên,"Quán sủi cảo lâu đời trên đường Hà Tôn Quyền, nổi tiếng với hương vị truyền thống của người Hoa, nước lèo thanh, sủi cảo nhân đầy đặn.",Quán ăn người Hoa,Quận 11,"195 Hà Tôn Quyền, Phường 4, Quận 11, TP.HCM","ẩm thực, người Hoa",17:00 - 23:00,40.000 - 70.000 VNĐ,4.5,https://toplist.vn/images/800px/sui-cao-thien-thien-976864.jpg,10.7581578,106.6526225
112,Hủ tiếu Vĩnh Viễn,"Quán hủ tiếu ngon, rẻ, đa dạng món như hủ tiếu thập cẩm, hoành thánh, mì, bún gạo. Được yêu thích bởi học sinh, sinh viên và dân văn phòng.",Quán ăn bình dân,Quận 10,"174 Vĩnh Viễn, Phường 4, Quận 10, TP.HCM","ẩm thực, ăn uống",6:00 - 13:00 | 17:00 - 21:00,30.000 - 45.000 VNĐ,4.3,https://thanhnien.mediacdn.vn/Uploaded/2014/saigonamthuc.thanhnien.com.vn/Pictures20139/Tan_Nhan/HutieubovienVinhVien8.jpg,10.7614356,106.6583091
113,Landmark 81,"Toà nhà cao nhất Việt Nam thuộc Vinhomes Central Park, tích hợp khu trung tâm thương mại, nhà hàng sang trọng, rạp phim CGV, sân băng và đài quan sát SkyView.",Trung tâm thương mại / Địa điểm check-in,Quận Bình Thạnh,"720A Điện Biên Phủ, Phường 22, Bình Thạnh, TP.HCM","Trung tâm thương mại, mua sắm, ngắm nhìn thành phố, tòa nhà",9:00 - 22:00,Miễn phí (tùy khu vực có phí),4.7,https://i.pinimg.com/736x/ca/c4/b2/cac4b228d96b85b8cc821292d3f27137.jpg,10.7951119,106.722096
114,Công viên Vinhomes Central Park,"Công viên rộng lớn dọc sông Sài Gòn, được thiết kế theo phong cách hiện đại, có khu tập thể dục, khu chơi trẻ em, thảm cỏ picnic, view Landmark 81 cực đẹp.",Công viên đô thị,Quận Bình Thạnh,"208 Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, TP.HCM","công viên, đi dạo",5:00 - 21:00,Miễn phí,4.6,https://dulich3mien.vn/wp-content/uploads/2021/12/cong-vien-central-park-04.jpg,10.7934308,106.7243981
115,Ươm Art Hub,"Không gian nghệ thuật sáng tạo với các khu vực như studio, tiệm sách, khu tổ chức workshop, quán nước, lớp học thiết kế. Thường xuyên tổ chức triển lãm và sự kiện cộng đồng.",Không gian sáng tạo / Văn hoá nghệ thuật,Quận 1,"42 Nguyễn Huệ, Phường Bến Nghé, Quận 1, TP.HCM",triển lãm,9:00 - 21:00,Tùy hoạt động (đa số miễn phí hoặc 50.000 - 200.000 VNĐ),4.8,https://media.urbanistnetwork.com/urbanistvietnam/articleimages/2021/12/17/uomarthub/02b.jpg,10.7740446,106.7040965
116,Khu du lịch Văn Thánh,"Khu du lịch nằm ven sông trong khu Thanh Đa, không gian xanh mát với hồ bơi, sân tennis, quán cafe và nhà hàng. Phù hợp để thư giãn cuối tuần cùng bạn bè, gia đình.",Khu du lịch sinh thái,Bình Thạnh,"48/10 Điện Biên Phủ, Phường 22, Quận Bình Thạnh, TP.HCM","du lịch, hồ bơi",7:00 - 22:00,Miễn phí vào cổng (dịch vụ tính phí),4.2,https://cdn.guland.vn/files/16373742736198594164e19.jpeg,10.7981787,106.7157267
117,Khu du lịch Tân Cảng,"Khu du lịch ven sông Sài Gòn, thoáng mát, phù hợp tổ chức tiệc công ty hoặc họp mặt gia đình. Có view sông đẹp, nhà hàng phục vụ nhanh.",Khu du lịch - Nhà hàng ven sông,Bình Thạnh,"A100 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, TP.HCM","ẩm thực, nhà hàng",8:00 - 22:00,Miễn phí vào cổng (dịch vụ tính phí),4.1,https://imagevietnam.vnanet.vn/Upload/2015/2/10/DL02.jpg,10.7999642,106.7247441
118,Khu du lịch Bình Quới 2,"Không gian thoáng, hồ sen, nhà chòi và khu ăn uống dân dã. Phù hợp đi cuối tuần cùng gia đình. Có phòng nghỉ nhưng gần ao nên có muỗi.",Khu du lịch sinh thái,Bình Thạnh,"1147 Bình Quới, Phường 28, Quận Bình Thạnh, TP.HCM","gia đình, thiên nhiên",7:00 - 21:00,"Miễn phí vào cổng, buffet 250.000 - 300.000 VNĐ/người",4,https://owa.bestprice.vn/images/media/ba506784-9212-419b-b723-b2fdd089c0f1-6200cea8b6a92.png,10.8334024,106.7436933
119,Khu du lịch Bình Quới 1,"Không gian đậm chất miền quê, cây xanh và hồ nước tạo nên phong cảnh thư giãn. Thích hợp tụ họp gia đình, nhóm bạn, đặc biệt có khu vui chơi trẻ em.",Khu du lịch sinh thái,Bình Thạnh,"1147 Bình Quới, Phường 28, Quận Bình Thạnh, TP.HCM","thư giãn, cảnh quê, thiên nhiên",7:00 - 21:00,"Miễn phí vào cổng, buffet khoảng 250.000 VNĐ/người",4.2,https://www.homepaylater.vn/static/6697418db28df6dff194ad7321d667a3/b3a59/canh_vat_dam_chat_que_tai_khu_du_lich_binh_quoi_1_cb0071af40.webp,10.8334024,106.7436933
120,Lăng Ông Bà Chiểu,"Di tích lịch sử thờ Tả Quân Lê Văn Duyệt, kiến trúc đậm chất cổ xưa Việt Nam. Không gian trang nghiêm, thích hợp tham quan, tìm hiểu văn hóa.",Di tích lịch sử - Văn hóa,Bình Thạnh,"1 Vũ Tùng, Phường 1, Quận Bình Thạnh, TP.HCM","di tích, văn hóa",7:00 - 17:00,Miễn phí,4.3,https://images2.thanhnien.vn/uploaded/congson/2020_10_03/7b_YYIN.jpg?width=500,10.801881,106.696907
121,Chợ Bà Chiểu,"Chợ nổi tiếng ở quận Bình Thạnh với ẩm thực đa dạng, đồ si, giá cả bình dân. Không khí luôn náo nhiệt và đông đúc.",Chợ truyền thống,Bình Thạnh,"40 Diên Hồng, Phường 1, Quận Bình Thạnh, TP.HCM","ẩm thực, mua sắm, chợ",5:00 - 20:00,Miễn phí,4,"https://ik.imagekit.io/tvlk/blog/2023/07/cho-ba-chieu-2.jpg?tr=dpr-2,w-675",10.8016047,106.6988172
122,2PM Coffee,"Quán có decor dễ thương, nhiều góc sống ảo. Đồ uống ổn, không gian phù hợp để chụp hình và trò chuyện ngắn.",Quán cà phê,Phú Nhuận,"135/1 Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, TP.HCM",đồ uống,8:00 - 22:00,30.000 - 60.000 VNĐ,4.1,https://static.riviu.vn/image/2020/12/01/1098fb10cae0a6c4abb307fdc0d91429_output.jpeg,10.7972405,106.7178717
123,Amhaus Home Café,"Quán cà phê tone trắng xanh dịu nhẹ, không gian yên tĩnh, có sách đọc. Phù hợp cho người đi cà phê một mình hoặc học tập.",Quán cà phê sách,Bình Thạnh,"45/9A Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, TP.HCM",đồ uống,8:00 - 21:00,35.000 - 65.000 VNĐ,4.3,https://gcs.tripi.vn/public-tripi/tripi-feed/img/473466hzV/image-amhaus-home-cafe-quan-ca-phe-chup-hinh-dep-voi-phong-cach-vintage-am-cung-tai-67-7-mieu-noi-quan-binh-thanh-164683587496297.jpg,10.7966374,106.6934161
124,JeJu Coffee,"Quán cà phê phong cách Hàn Quốc, tường kính và khu vườn xanh mát. Nhiều góc sống ảo nổi bật và ánh sáng tự nhiên.",Quán cà phê,Tân Bình,"54 Nguyễn Minh Hoàng, Phường 12, Quận Tân Bình, TP.HCM","đồ uống, thư giãn",7:00 - 22:00,40.000 - 70.000 VNĐ,4.4,https://noithatkendesign.vn/storage/app/media/uploaded-files/review-jeju-coffee-4.jpg,10.8321862,106.7048973
125,Nhà hàng Phong Cua 2,"Nhà hàng chuyên hải sản, thực khách tự chọn hải sản sống để chế biến. Không gian thoáng mát, view sông đẹp nếu đặt bàn sớm.",Nhà hàng hải sản,Bình Thạnh,"1019B Bình Quới, Phường 28, Quận Bình Thạnh, TP.HCM","nhà hàng, hải sản, ẩm thực",10:00 - 22:00,200.000 - 500.000 VNĐ/người,4.2,https://www.cotrang.org/public/images/tin_dang/7/50_nha-hang-phong-cua-bk-19.jpg,10.8237036,106.7317099
126,Quán Le Steak,"Không gian nhỏ, nên đặt bàn trước. Đồ ăn chất lượng, giá hợp lý. Steak mềm, ngon, nước sốt đậm đà. Phục vụ nhanh và thân thiện.",Nhà hàng bít tết,Tân Bình,"26 Trường Sơn, Quận Tân Bình, TP.HCM","ẩm thực, nhà hàng",10h00 - 22h00,100.000 - 250.000 VNĐ,4.5,https://kamereo.vn/blog/wp-content/uploads/2024/07/Le-Steak-1-768x480.jpg,10.8058249,106.7134792
127,Khu du lịch Bến Xưa,"Khu du lịch ven sông Vàm Thuật với không gian yên bình, cây xanh mát mẻ, kết hợp với các nhà hàng sang trọng, món ăn thuần Việt ngon miệng.",Khu du lịch,Quận 12,"39A Hà Huy Giáp, Thạnh Lộc, Quận 12, TP.Hồ Chí Minh","du lịch, nhà hàng",07h00 - 21h00,328.000 đồng,4.3,https://media.mia.vn/uploads/blog-du-lich/khu-du-lich-ben-xua-2-1698502578.jpg,10.8530798,106.6779009
128,Tu viện Khánh An,"Ngôi chùa lớn với kiến trúc Nhật Bản độc đáo, không gian yên tĩnh, mang lại sự an yên. Chất liệu chủ yếu là gỗ, nghệ thuật chạm khắc tinh xảo.",Chùa / Tu viện,Quận 12,"3D Quốc lộ 1A, Phường An Phú Đông, Quận 12, TP.HCM","chùa, tu viện, yên tĩnh",05h00 - 21h00,Miễn phí,4.6,https://dulich3mien.vn/wp-content/uploads/2021/12/tu-vien-khanh-an-@tuilatamne895.jpg,10.8610819,106.7050888
129,Làng cá sấu,"Không gian xanh mát, mô phỏng làng quê miền Tây. Có trại nuôi cá sấu, nhà hàng, tiệm lưu niệm, bán sản phẩm từ cá sấu.",Khu tham quan - trải nghiệm,Quận 12,"Đường Nguyễn Thị Sáu, Thạnh Lộc, Quận 12, TP.HCM","làng cá sấu, thư giãn",08h00 - 20h00,Miễn phí,4.3,https://casauhoaca.com/images/2019/t09/khung-canh-lang-ca-sau-hoa-ca-vao-ban-ngay.png,10.8749907,106.6828275
130,Khu tưởng niệm Vườn Cau Đỏ,"Khu tưởng niệm lịch sử kháng chiến, giáo dục truyền thống yêu nước cho thế hệ trẻ. Không gian trang nghiêm, yên tĩnh.",Di tích lịch sử,Quận 12,"12 Thạnh Xuân 52, Thạnh Xuân, Quận 12, TP.HCM","di tích, lịch sử, kháng chiến",24h,Miễn phí,4.2,https://thpt-thanhloc-tphcm.edu.vn/uploads/images/40/images/324464761_2174408582747046_7054849878759156163_n.jpg,10.895885,106.680488
131,Moda House Coffee,"Quán cà phê phong cách vintage, tone nâu ấm áp, cực kỳ phù hợp để sống ảo, hẹn hò. Không gian ấm cúng và rất nhiều góc chụp đẹp.",Quán cà phê,Quận 12,"129 Thạnh Lộc 15, Quận 12, TP.HCM","cafe, đồ uống",07h00 - 23h30,12.000 - 50.000 VNĐ,4,https://digiticket.vn/blog/wp-content/uploads/2021/08/cafe-quan-12-5-Ảnh-Moda-House-Coffee.jpg,10.8537396,106.6255914
132,Quán Cà Phê Ấm,"được thiết kế theo phong cách vintage đẹp mắt, với những dãy đèn xung quanh, khiến cho không gian quán trở nên ấm áp và lãng mạn khiến ai cũng thích thú.",Quán cà phê,Quận 12,"Vườn Lài, An Phú Đông, Quận 12, TP.Hồ Chí Minh","café, ăn uống",07h00-22h00,Khoảng 25.000 đồng-45.000 đồng,4.8,https://noithatcaphe.vn/images/2020/10/08/y-tuong-thiet-ke-quan-cafe-via-he-moi-phong-cach3.png,10.8569847,106.6925344
133,Nông Trại Tam Nông,"không khí trong lành, mát mẻ từ thiên nhiên, cách biệt với sự ồn ào của Sài Gòn, Nông Trại Tam Nông mang đến cho bạn những khoảnh khắc thư giãn tuyệt vời. Ngoài ra, khu nông trại còn có nhiều hoạt động giải trí khác nhau, thú vị hơn nếu bạn đi cùng gia đình và bạn bè.",Quán café,Quận 12,"Tổ 33 kp2, Thạnh Xuân, Quận 12, TP.Hồ Chí Minh","đồ uống, thư giãn",08h00-21h00,Miễn phí,4,https://get.wallhere.com/photo/3076x1363-px-farm-landscape-nature-1329473.jpg,10.8906426,106.6622703
134,Quán Mì Quảng 48,"Quán phục vụ mì Quảng đa dạng với nguyên liệu chọn lọc, đảm bảo vệ sinh thực phẩm và công thức đặc biệt, đảm bảo tạo ra những tô mì Quảng thơm ngon, đậm đà.",Ẩm thực,Quận 12,"48 Tân Chánh Hiệp, Quận 12, TP.HCM","mì Quảng, ẩm thực",07h00 - 21h00,30.000 - 50.000 VNĐ,4.1,http://reviewvilla.vn/wp-content/uploads/2022/06/mi-quang-Phan-Thiet-1.jpg,10.869593,106.6479359
135,"Bún Chả Đàm Trang
","với các món bún chả Hà Nội và đa dạng các món đặc sản Hà Nội. Mang hương vị của Hà Nội đến Sài Thành, Bún Chả Đàm Trang với công thức đặc biệt sẽ gây ấn tượng mạnh mẽ cho thực khách",Ẩm thực,Quận 12,"27 Tân Chánh Hiệp 10, Quận 12","ăn uống, ẩm thực",05h00 - 11h00,Miễn phí,4.2,https://cdn.tgdd.vn/Files/2020/10/25/1302003/la-ca-nhung-quan-an-ngon-re-quan-12-de-thay-sai-gon-tuyet-voi-biet-bao-202210280030447782.jpg,10.8629332,106.631809
136,Chợ Hạnh Tây Thông,"Chợ có nhiều quần áo, giày dép, túi xách, mắt kính, đồ thủ công, đồ gia dụng với mức giá cả hợp lý, đông sinh viên và người lao động đến mua sắm.",Chợ,Quận Gò Vấp,"Đường số 14, Phường 5, Quận Gò Vấp, TP.HCM","ăn uống, ẩm thực, mua sắm",06h00 - 21h00,Miễn phí,4,https://blog.dktcdn.net/files/kinh-nghiem-di-cho-dem-hanh-thong-tay1.jpg,10.8349841,106.6582322
